,Dataset,"[n_clusters, affinity]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,"[2, 'nearest_neighbors', 'arpack']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.47572779655456543
1,Iris,"[2, 'rbf', 'arpack']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.45179152488708496
2,Iris,"[3, 'nearest_neighbors', 'arpack']",0.2758620689655173,0.7445264308738749,0.5061626262368144,0.49666857719421387
3,Iris,"[3, 'rbf', 'arpack']",0.4735436641062775,0.6230625271215975,0.48617445731831616,0.48071789741516113
4,Iris,"[4, 'nearest_neighbors', 'arpack']",0.08259587020648969,0.6107850556349673,0.40176405624576866,0.0578463077545166
5,Iris,"[4, 'rbf', 'arpack']",0.27777777777777773,0.5420301391975411,0.3982039357062952,0.06682014465332031
6,Iris,"[5, 'nearest_neighbors', 'arpack']",0.008771929824561405,0.47884836518409574,0.35575585239871704,0.05285787582397461
7,Iris,"[5, 'rbf', 'arpack']",0.024096385542168672,0.5709054201098618,0.3196973988429927,0.061835527420043945
8,Iris,"[6, 'nearest_neighbors', 'arpack']",0.48025225803003574,0.5242789816813533,0.3361707050403257,0.06582474708557129
9,Iris,"[6, 'rbf', 'arpack']",0.0,0.4686704024452369,0.2862430073452524,0.0608363151550293
10,Iris,"[7, 'nearest_neighbors', 'arpack']",0.19223288788506182,0.45993931545805405,0.3210884976494049,0.07480096817016602
11,Iris,"[7, 'rbf', 'arpack']",0.24734836783029554,0.5244191868693681,0.30285980033322296,0.08078336715698242
12,Iris,"[8, 'nearest_neighbors', 'arpack']",0.22968696250429999,0.3994357114066909,0.3314827559644402,0.07878732681274414
13,Iris,"[8, 'rbf', 'arpack']",0.010256410256410255,0.41842532790419773,0.28571777586884795,0.07978701591491699
14,Wine,"[2, 'nearest_neighbors', 'arpack']",0.294050375961346,0.41423186520088234,0.29761853836766033,0.04387998580932617
15,Wine,"[2, 'rbf', 'arpack']",0.3586778152993559,0.3702270932278303,0.2987221815974774,0.0498661994934082
16,Wine,"[3, 'nearest_neighbors', 'arpack']",0.9547996139592848,0.8685425493202144,0.29958084974176336,0.06183457374572754
17,Wine,"[3, 'rbf', 'arpack']",0.01208716377255703,0.9308728982369983,0.2998758494838216,0.06183338165283203
18,Wine,"[4, 'nearest_neighbors', 'arpack']",0.01227312013828868,0.6732315126793333,0.2266049521635517,0.07679414749145508
19,Wine,"[4, 'rbf', 'arpack']",0.2738942771935275,0.6820321111159526,0.24970986062239758,0.09574556350708008
20,Wine,"[5, 'nearest_neighbors', 'arpack']",0.01996439923400695,0.6371690289026851,0.20451230914369217,0.11170148849487305
21,Wine,"[5, 'rbf', 'arpack']",0.1595505617977528,0.5813280375515609,0.21984380271188836,0.06681990623474121
22,Wine,"[6, 'nearest_neighbors', 'arpack']",0.017927029415477844,0.5271979834362616,0.11604748777426971,0.09075784683227539
23,Wine,"[6, 'rbf', 'arpack']",0.5647109491936486,0.5509144955698648,0.20253295433630003,0.08577084541320801
24,Wine,"[7, 'nearest_neighbors', 'arpack']",0.19153054480219056,0.4936344296526053,0.116730076056769,0.08876299858093262
25,Wine,"[7, 'rbf', 'arpack']",0.1560820713238886,0.5098462388244844,0.20639881190712725,0.07579827308654785
26,Wine,"[8, 'nearest_neighbors', 'arpack']",0.32804461456146844,0.45329209899117584,0.11865688990742752,0.07978653907775879
27,Wine,"[8, 'rbf', 'arpack']",0.33367053821144366,0.5077508556053905,0.2105653196777771,0.08477282524108887
