,Dataset,"[eps,min_samples]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,"[0.1, 2.0]",0.5054268261901156,0.4262601687349905,0.23023428095723147,0.007978677749633789
1,Iris,"[0.1, 3.0]",0.5054268261901156,0.42868912117692604,0.20290108093851023,0.007981061935424805
2,Iris,"[0.1, 4.0]",0.47350205494267794,0.39376706969603026,0.13422112127396285,0.012963533401489258
3,Iris,"[0.1, 5.0]",0.40604274134119384,0.44140721982223546,0.05746370015686628,0.008975744247436523
4,Iris,"[0.1, 6.0]",0.4612890603163956,0.3669869782251568,0.057155262572557826,0.007977724075317383
5,Iris,"[0.1, 7.0]",0.40809736711376055,0.31078606703382267,0.08891195227728704,0.006990909576416016
6,Iris,"[0.1, 8.0]",0.39928834667683316,0.27656209394729386,0.06260523349404636,0.01894855499267578
7,Iris,"[0.2, 2.0]",0.5808325808325808,0.553879094828854,0.38826644091020673,0.008979558944702148
8,Iris,"[0.2, 3.0]",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.008974790573120117
9,Iris,"[0.2, 4.0]",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.006982326507568359
10,Iris,"[0.2, 5.0]",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.008976936340332031
11,Iris,"[0.2, 6.0]",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.005984783172607422
12,Iris,"[0.2, 7.0]",0.5521885521885521,0.5503452567273898,0.5527378042465537,0.006981849670410156
13,Iris,"[0.2, 8.0]",0.5552536862881691,0.5464223216603212,0.5229711293120027,0.006980180740356445
14,Iris,"[0.3, 2.0]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.007981061935424805
15,Iris,"[0.3, 3.0]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.007977962493896484
16,Iris,"[0.3, 4.0]",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.009973287582397461
17,Iris,"[0.3, 5.0]",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.02693033218383789
18,Iris,"[0.3, 6.0]",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.008974552154541016
19,Iris,"[0.3, 7.0]",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.023936033248901367
20,Iris,"[0.3, 8.0]",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.006979465484619141
21,Iris,"[0.4, 2.0]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.008976221084594727
