,Dataset,"[n_clusters,linkage]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,"[2, 'ward']",0.0,0.5681159420289855,0.6294675561906644,0.019945859909057617
1,Iris,"[2, 'complete']",0.20873972078791356,0.2234197189738486,0.30391309058110383,0.018949508666992188
2,Iris,"[2, 'average']",0.0,0.5681159420289855,0.6294675561906644,0.042890310287475586
3,Iris,"[2, 'single']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.018951416015625
4,Iris,"[3, 'ward']",0.2650602409638554,0.7195837484778036,0.5043490792923953,0.006983518600463867
5,Iris,"[3, 'complete']",0.43897099069512857,0.7060059674676762,0.5030674466509139,0.006983518600463867
6,Iris,"[3, 'average']",0.8832938591974736,0.7195837484778036,0.5043490792923953,0.012966394424438477
7,Iris,"[3, 'single']",0.0,0.5583714437541352,0.5308893239015932,0.026926279067993164
8,Iris,"[4, 'ward']",0.8250602409638554,0.6454234140112601,0.43255652632301644,0.00797271728515625
9,Iris,"[4, 'complete']",0.007936507936507938,0.5781289744177803,0.39318662726870374,0.00598454475402832
10,Iris,"[4, 'average']",0.2650602409638554,0.7088753278732401,0.4226999292628631,0.009972333908081055
11,Iris,"[4, 'single']",0.0,0.553879094828854,0.38826644091020673,0.005984067916870117
12,Iris,"[5, 'ward']",0.22666666666666666,0.4999186811562061,0.34537101373205314,0.01196908950805664
13,Iris,"[5, 'complete']",0.16858237547892718,0.5041716687577664,0.33678778052729047,0.006985187530517578
14,Iris,"[5, 'average']",0.012121212121212121,0.6842486635768289,0.3704241079872026,0.006981611251831055
15,Iris,"[5, 'single']",0.0,0.551796444741071,0.20510173993234454,0.0049877166748046875
16,Iris,"[6, 'ward']",0.0,0.4363200443368152,0.3239072422446529,0.006980419158935547
17,Iris,"[6, 'complete']",0.0,0.4415520259458531,0.3291868124406778,0.011967658996582031
18,Iris,"[6, 'average']",0.3420875420875421,0.6638049639535524,0.34491848021826627,0.006982326507568359
19,Iris,"[6, 'single']",0.0,0.5498939490241168,0.1604627810694802,0.00598597526550293
20,Iris,"[7, 'ward']",0.0,0.45906288998978934,0.32857302455221316,0.008976936340332031
21,Iris,"[7, 'complete']",0.3900602409638554,0.4669836338541101,0.324436537466791,0.006982564926147461
22,Iris,"[7, 'average']",0.03773584905660377,0.6221330435024942,0.2962868000473518,0.006978750228881836
23,Iris,"[7, 'single']",0.0,0.5481751239349851,0.10936566430229205,0.00598454475402832
24,Iris,"[8, 'ward']",0.38259501331396756,0.41107287810857635,0.3193551508780463,0.006979465484619141
25,Iris,"[8, 'complete']",0.3528481012658228,0.39335387543258155,0.3128689094431769,0.005986213684082031
26,Iris,"[8, 'average']",0.31154537286612755,0.6228563145335742,0.27068234915866074,0.005988359451293945
27,Iris,"[8, 'single']",0.0,0.544849450286145,0.06304626048660117,0.005979776382446289
28,Iris,"[9, 'ward']",0.2866549604916594,0.36201083419377256,0.31011990380392485,0.005986690521240234
29,Iris,"[9, 'complete']",0.125,0.38639873863166013,0.32421825929688863,0.006978273391723633
30,Iris,"[9, 'average']",0.03773584905660377,0.5779346921591315,0.2724236169140727,0.005984306335449219
31,Iris,"[9, 'single']",0.04938271604938271,0.5345601806533911,0.10521653992448408,0.005983591079711914
32,Iris,"[10, 'ward']",0.18997321086873328,0.3548897987202432,0.3215529908418728,0.007978200912475586
33,Iris,"[10, 'complete']",0.009009009009009009,0.3642949740807068,0.31395720587868203,0.0059833526611328125
34,Iris,"[10, 'average']",0.03773584905660377,0.5401192698138116,0.29858325097405686,0.009973526000976562
35,Iris,"[10, 'single']",0.04938271604938271,0.5321288124176597,0.09987154528356872,0.004987001419067383
36,Iris,"[11, 'ward']",0.3629076838032062,0.3477026227568527,0.3242135978153741,0.005984306335449219
37,Iris,"[11, 'complete']",0.20091324200913244,0.35583136597997056,0.3055347443356724,0.009974002838134766
38,Iris,"[11, 'average']",0.03773584905660377,0.5510169917134009,0.3133189795674664,0.005984067916870117
39,Iris,"[11, 'single']",0.04938271604938271,0.5298853494302335,0.05525318786923336,0.007979393005371094
40,Iris,"[12, 'ward']",0.20370370370370372,0.3426586358112749,0.3280784775796031,0.0069828033447265625
41,Iris,"[12, 'complete']",0.0273972602739726,0.3323118997018073,0.30989069354127785,0.005983591079711914
42,Iris,"[12, 'average']",0.0,0.5518385806443586,0.31257155215691823,0.006979465484619141
43,Iris,"[12, 'single']",0.13125406107862247,0.5244510920036837,0.10124855415129132,0.004987239837646484
44,Iris,"[13, 'ward']",0.08465608465608468,0.3288956107009479,0.3270349858335257,0.006983518600463867
45,Iris,"[13, 'complete']",0.07588210875882108,0.29751873361121384,0.29406653040512065,0.004986286163330078
