,Dataset,"[n_clusters,linkage]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
83,Wine,"[8, 'single']",0.20388676671941014,-0.01325864707492604,-0.024009193305062328,0.005983591079711914
84,Wine,"[9, 'ward']",0.32574583494769466,0.5916750198562166,0.21208967269333392,0.006981372833251953
85,Wine,"[9, 'complete']",0.014245585874799358,0.6821608204154528,0.21835997902731566,0.006979942321777344
86,Wine,"[9, 'average']",0.6741617620831104,0.7911569111007435,0.24923285437533138,0.006981611251831055
87,Wine,"[9, 'single']",0.20464247348868442,-0.01418710830129466,-0.04585611994553215,0.005983114242553711
88,Wine,"[10, 'ward']",0.0,0.4977199717145144,0.1546514429139479,0.007978200912475586
89,Wine,"[10, 'complete']",0.014245585874799358,0.6484833100246126,0.21346682288403157,0.006980419158935547
90,Wine,"[10, 'average']",0.03269478725363787,0.7888674262711013,0.2248372443304508,0.006981372833251953
91,Wine,"[10, 'single']",0.2053287820603992,-0.010204472340793039,-0.07262230676563858,0.006982088088989258
92,Wine,"[11, 'ward']",0.30606489786926006,0.49122529400415454,0.1608078146270418,0.006980419158935547
93,Wine,"[11, 'complete']",0.03496187800963082,0.644292269629045,0.21307565881286086,0.009973764419555664
94,Wine,"[11, 'average']",0.34097499093874595,0.7719778933170813,0.21416738371819438,0.007979869842529297
95,Wine,"[11, 'single']",0.19568895045576587,-0.010476399001283271,-0.07972980452979789,0.006979703903198242
96,Wine,"[12, 'ward']",0.015642211940956156,0.4382119745667143,0.1629047059928544,0.00897669792175293
97,Wine,"[12, 'complete']",0.040910400460962254,0.6442199705376961,0.20251529661004516,0.0069806575775146484
98,Wine,"[12, 'average']",0.37093753775522537,0.768963173776561,0.20021210304638554,0.005984306335449219
99,Wine,"[12, 'single']",0.19646498933573736,-0.011406537537092554,-0.10813266094640421,0.005984067916870117
100,Wine,"[13, 'ward']",0.0,0.40480405252707224,0.15670787144622916,0.006979227066040039
101,Wine,"[13, 'complete']",0.20570440795159894,0.5822470212610096,0.19159092590082066,0.0069806575775146484
102,Wine,"[13, 'average']",0.05123595505617978,0.7250872492388883,0.20357779753007688,0.005984306335449219
103,Wine,"[13, 'single']",0.1170235319058724,-0.012209441252642483,-0.11484705068263178,0.005984067916870117
104,Wine,"[14, 'ward']",0.3902201329970191,0.3658894811392754,0.146509632662562,0.007978439331054688
105,Wine,"[14, 'complete']",0.1647940074906367,0.5155543152778568,0.18600145629441353,0.006981611251831055
106,Wine,"[14, 'average']",0.34282776781124435,0.6845270982659577,0.1909486385214954,0.005982637405395508
107,Wine,"[14, 'single']",0.1753917468635058,-0.012346977720172615,-0.1202877020889914,0.00498652458190918
108,Wine,"[15, 'ward']",0.2805158324821246,0.2887007218402224,0.14265162823473335,0.0069806575775146484
109,Wine,"[15, 'complete']",0.5430235798718026,0.5154005700951935,0.18642773004941612,0.004985809326171875
110,Wine,"[15, 'average']",0.34316720526557853,0.6846346978307997,0.17858135056015062,0.004987478256225586
111,Wine,"[15, 'single']",0.1761817997773054,-0.013021232164448795,-0.14839420813012785,0.003988981246948242
