,Dataset,"[n_components,covariance_type]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,"[1, 'full']",0.5054268261901156,0.4262601687349905,0.23023428095723147,0.007981538772583008
1,Iris,"[1, 'tied']",0.5054268261901156,0.42868912117692604,0.20290108093851023,0.007977962493896484
2,Iris,"[1, 'diag']",0.47350205494267794,0.39376706969603026,0.13422112127396285,0.011970043182373047
3,Iris,"[1, 'spherical']",0.40604274134119384,0.44140721982223546,0.05746370015686628,0.007979869842529297
4,Iris,"[2, 'full']",0.4612890603163956,0.3669869782251568,0.057155262572557826,0.006982326507568359
5,Iris,"[2, 'tied']",0.40809736711376055,0.31078606703382267,0.08891195227728704,0.006979465484619141
6,Iris,"[2, 'diag']",0.39928834667683316,0.27656209394729386,0.06260523349404636,0.023935556411743164
7,Iris,"[2, 'spherical']",0.5808325808325808,0.553879094828854,0.38826644091020673,0.007977485656738281
8,Iris,"[3, 'full']",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.006981849670410156
9,Iris,"[3, 'tied']",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.007975578308105469
10,Iris,"[3, 'diag']",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.00797891616821289
11,Iris,"[3, 'spherical']",0.5551915551915553,0.5535820784912958,0.5552633662863133,0.006978511810302734
12,Iris,"[4, 'full']",0.5521885521885521,0.5503452567273898,0.5527378042465537,0.007980585098266602
13,Iris,"[4, 'tied']",0.5552536862881691,0.5464223216603212,0.5229711293120027,0.010970115661621094
14,Iris,"[4, 'diag']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.006981372833251953
15,Iris,"[4, 'spherical']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.006979703903198242
16,Iris,"[5, 'full']",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.006981849670410156
17,Iris,"[5, 'tied']",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.006979465484619141
18,Iris,"[5, 'diag']",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.007979631423950195
19,Iris,"[5, 'spherical']",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.006981849670410156
20,Iris,"[6, 'full']",0.5570469798657718,0.5657466140922338,0.46766235578469606,0.00797724723815918
21,Iris,"[6, 'tied']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.006980180740356445
22,Iris,"[6, 'diag']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.00698089599609375
23,Iris,"[6, 'spherical']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.026926755905151367
24,Iris,"[7, 'full']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.009972095489501953
25,Iris,"[7, 'tied']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.011966943740844727
26,Iris,"[7, 'diag']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.0079803466796875
27,Iris,"[7, 'spherical']",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.006981611251831055
28,Iris,"[8, 'full']",0.16666666666666666,0.0,,0.005984306335449219
29,Iris,"[8, 'tied']",0.16666666666666666,0.0,,0.004986286163330078
30,Iris,"[8, 'diag']",0.16666666666666666,0.0,,0.0059833526611328125
31,Iris,"[8, 'spherical']",0.16666666666666666,0.0,,0.005983591079711914
32,Iris,"[9, 'full']",0.16666666666666666,0.0,,0.00497889518737793
33,Iris,"[9, 'tied']",0.16666666666666666,0.0,,0.006980180740356445
34,Iris,"[9, 'diag']",0.16666666666666666,0.0,,0.007980108261108398
35,Iris,"[9, 'spherical']",0.16666666666666666,0.0,,0.005983114242553711
36,Iris,"[10, 'full']",0.16666666666666666,0.0,,0.008976221084594727
37,Iris,"[10, 'tied']",0.16666666666666666,0.0,,0.009972810745239258
38,Iris,"[10, 'diag']",0.16666666666666666,0.0,,0.004993438720703125
39,Iris,"[10, 'spherical']",0.16666666666666666,0.0,,0.004980802536010742
40,Wine,"[1, 'full']",0.0,0.0,,0.004985332489013672
41,Wine,"[1, 'tied']",0.0,0.0,,0.005978107452392578
