,Dataset,"[preference, damping]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,"[-1.0, 0.5]",0.2971285892634207,0.3151346890967554,0.4500744927107959,0.11599016189575195
1,Iris,"[-1.0, 0.7]",0.7808758405773331,0.4269833271598388,0.6647740128671997,0.071807861328125
2,Iris,"[-1.0, 0.9]",0.5590055809233891,0.43574674968077026,0.662306103496632,0.12197518348693848
3,Iris,"[-3.0, 0.5]",0.8982809480215644,0.5061626262368144,0.7445264308738749,0.08806538581848145
4,Iris,"[-3.0, 0.7]",0.9063294526963735,0.48991166728038904,0.7565319826935709,0.043202877044677734
5,Iris,"[-3.0, 0.9]",0.9063294526963735,0.48991166728038904,0.7565319826935709,0.062485694885253906
6,Iris,"[-5.0, 0.5]",0.8991833854219174,0.4801083567301688,0.7429751965483791,0.06248760223388672
7,Iris,"[-5.0, 0.7]",0.8933333333333333,0.48257499210393956,0.7275428571428572,0.031244754791259766
8,Iris,"[-5.0, 0.9]",0.9063294526963735,0.48991166728038904,0.7565319826935709,0.062485456466674805
9,Iris,"[-7.0, 0.5]",0.0,,0.0,0.29680323600769043
10,Iris,"[-7.0, 0.7]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.03124070167541504
11,Iris,"[-7.0, 0.9]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.07810640335083008
12,Iris,"[-9.0, 0.5]",0.0,,0.0,0.2499370574951172
13,Iris,"[-9.0, 0.7]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.04686903953552246
14,Iris,"[-9.0, 0.9]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.07810711860656738
15,Iris,"[-11.0, 0.5]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.10934662818908691
16,Iris,"[-11.0, 0.7]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.03124260902404785
17,Iris,"[-11.0, 0.9]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.06248283386230469
18,Iris,"[-13.0, 0.5]",0.5181691125087352,0.6018654103860622,0.5149369402475278,0.10934925079345703
19,Iris,"[-13.0, 0.7]",0.5430136018371312,0.6213540890242644,0.5489713200964548,0.03124547004699707
20,Iris,"[-13.0, 0.9]",0.5555555555555555,0.6294675561906644,0.5681159420289855,0.04686903953552246
21,Wine,"[-1.0, 0.5]",0.04947174241153782,0.11190109331193197,0.26894751936445516,0.06248617172241211
22,Wine,"[-1.0, 0.7]",0.04947174241153782,0.11190109331193197,0.26894751936445516,0.09372997283935547
23,Wine,"[-1.0, 0.9]",0.11969413233458176,0.11220033737835669,0.32341849838259124,0.10935163497924805
24,Wine,"[-3.0, 0.5]",0.1904212055653189,0.15369867752565167,0.5447785687668812,0.04686546325683594
25,Wine,"[-3.0, 0.7]",0.2893261322532485,0.16669930200345678,0.5484837766064432,0.06248664855957031
26,Wine,"[-3.0, 0.9]",0.2541394346090723,0.11727795991841629,0.42719948306352623,0.09372806549072266
27,Wine,"[-5.0, 0.5]",0.9602783530026117,0.30009150390158923,0.8803997758776985,0.0624842643737793
28,Wine,"[-5.0, 0.7]",0.5826291190633556,0.23023883117911625,0.6860143219023277,0.04686260223388672
29,Wine,"[-5.0, 0.9]",0.5826291190633556,0.23023883117911625,0.6860143219023277,0.09372425079345703
30,Wine,"[-7.0, 0.5]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.0624852180480957
31,Wine,"[-7.0, 0.7]",0.8483570110496008,0.25959365905889376,0.615936048405959,0.06248283386230469
32,Wine,"[-7.0, 0.9]",0.5826291190633556,0.23023883117911625,0.6860143219023277,0.09373068809509277
33,Wine,"[-9.0, 0.5]",0.9602783530026117,0.30009150390158923,0.8803997758776985,0.06248283386230469
34,Wine,"[-9.0, 0.7]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.046866655349731445
35,Wine,"[-9.0, 0.9]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.10934948921203613
36,Wine,"[-11.0, 0.5]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.06248641014099121
37,Wine,"[-11.0, 0.7]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.04686784744262695
38,Wine,"[-11.0, 0.9]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.0781090259552002
39,Wine,"[-13.0, 0.5]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.09372663497924805
40,Wine,"[-13.0, 0.7]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.04686236381530762
41,Wine,"[-13.0, 0.9]",0.9257361841896888,0.29016347892502725,0.7841640745744879,0.07810425758361816
