,Dataset,"[n_clusters,max_iter,n_init]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,"[2, 200, 5]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.04487919807434082
1,Iris,"[2, 200, 10]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.0359039306640625
2,Iris,"[2, 200, 15]",0.0,0.5681159420289855,0.6294675561906644,0.06582379341125488
3,Iris,"[2, 300, 5]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.016955137252807617
4,Iris,"[2, 300, 10]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.031915903091430664
5,Iris,"[2, 300, 15]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.053854942321777344
6,Iris,"[2, 400, 5]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.03091740608215332
7,Iris,"[2, 400, 10]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.0359041690826416
8,Iris,"[2, 400, 15]",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.0498661994934082
9,Iris,"[3, 200, 5]",0.2696629213483146,0.7163421126838476,0.5043188549150884,0.040892839431762695
10,Iris,"[3, 200, 10]",0.2696629213483146,0.7163421126838476,0.5043188549150884,0.04089069366455078
11,Iris,"[3, 200, 15]",0.2696629213483146,0.7163421126838476,0.5043188549150884,0.05485391616821289
12,Iris,"[3, 300, 5]",0.2696629213483146,0.7163421126838476,0.5043188549150884,0.02194046974182129
13,Iris,"[3, 300, 10]",0.08408408408408408,0.7163421126838476,0.5043188549150884,0.045877933502197266
14,Iris,"[3, 300, 15]",0.2822822822822823,0.7163421126838476,0.5043188549150884,0.07180953025817871
15,Iris,"[3, 400, 5]",0.2696629213483146,0.7163421126838476,0.5043188549150884,0.02393627166748047
16,Iris,"[3, 400, 10]",0.2696629213483146,0.7163421126838476,0.5043188549150884,0.0578455924987793
17,Iris,"[3, 400, 15]",0.8852785369639302,0.7163421126838476,0.5043188549150884,0.06183314323425293
18,Iris,"[4, 200, 5]",0.7447257383966244,0.6230929299814632,0.4446273300650682,0.03291058540344238
19,Iris,"[4, 200, 10]",0.24472573839662445,0.6230929299814632,0.4446273300650682,0.050862789154052734
20,Iris,"[4, 200, 15]",0.01687763713080169,0.6230929299814632,0.4446273300650682,0.08676910400390625
21,Iris,"[4, 300, 5]",0.24472573839662445,0.6230929299814632,0.4446273300650682,0.023935794830322266
22,Iris,"[4, 300, 10]",0.13768115942028986,0.6230929299814632,0.4446273300650682,0.04587888717651367
23,Iris,"[4, 300, 15]",0.24472573839662445,0.6230929299814632,0.4446273300650682,0.06981468200683594
24,Iris,"[4, 400, 5]",0.016460905349794237,0.6206329421473108,0.4435001045329514,0.023936986923217773
25,Iris,"[4, 400, 10]",0.24472573839662445,0.6230929299814632,0.4446273300650682,0.06283426284790039
26,Iris,"[4, 400, 15]",0.8059071729957804,0.6230929299814632,0.4446273300650682,0.09175443649291992
27,Iris,"[5, 200, 5]",0.01687763713080169,0.4670212076986913,0.35538315267369,0.0329132080078125
28,Iris,"[5, 200, 10]",0.13768115942028986,0.4670212076986913,0.35538315267369,0.06981301307678223
29,Iris,"[5, 200, 15]",0.01687763713080169,0.4670212076986913,0.35538315267369,0.07380223274230957
30,Iris,"[5, 300, 5]",0.24472573839662445,0.46569394095542876,0.351912893247111,0.03690075874328613
31,Iris,"[5, 300, 10]",0.2330938533470179,0.4648970912472176,0.35208455119388804,0.049868106842041016
32,Iris,"[5, 300, 15]",0.01687763713080169,0.46569394095542876,0.351912893247111,0.08078336715698242
33,Iris,"[5, 400, 5]",0.01687763713080169,0.4648970912472176,0.35268997896773463,0.026927709579467773
34,Iris,"[5, 400, 10]",0.13768115942028986,0.4648970912472176,0.35208455119388804,0.0628349781036377
35,Iris,"[5, 400, 15]",0.39358996589792505,0.46569394095542876,0.351912893247111,0.08078312873840332
36,Iris,"[6, 200, 5]",0.12021857923497267,0.42262685788387316,0.3552714312369295,0.02692866325378418
37,Iris,"[6, 200, 10]",0.21259259259259258,0.4265547512658742,0.3446731470537716,0.06582474708557129
38,Iris,"[6, 200, 15]",0.39095171120487576,0.42043466977474137,0.3503813557935231,0.07978534698486328
39,Iris,"[6, 300, 5]",0.01687763713080169,0.45303174827749354,0.36012865088552115,0.03191566467285156
40,Iris,"[6, 300, 10]",0.01687763713080169,0.4212570621468927,0.3517305254336543,0.061834096908569336
41,Iris,"[6, 300, 15]",0.12021857923497267,0.42262685788387316,0.3552714312369295,0.08178186416625977
42,Iris,"[6, 400, 5]",0.6567681830839724,0.5068174966533425,0.3263846025404776,0.029920101165771484
43,Iris,"[6, 400, 10]",0.0,0.4190631567304502,0.3468404499902478,0.058843374252319336
44,Iris,"[6, 400, 15]",0.01687763713080169,0.4508775054458769,0.35523857544211473,0.08477401733398438
45,Iris,"[7, 200, 5]",0.6801039184760115,0.4987421769060223,0.3443557695580397,0.02892136573791504
46,Iris,"[7, 200, 10]",0.1691542288557214,0.46548738248391885,0.33973498966201104,0.06781935691833496
47,Iris,"[7, 200, 15]",0.12021857923497267,0.45852156935398825,0.3423158744855928,0.08876228332519531
48,Iris,"[7, 300, 5]",0.2751895991332611,0.4586090120214115,0.3407538805934068,0.032911062240600586
49,Iris,"[7, 300, 10]",0.4301066695432892,0.46853815841157614,0.3415402627218983,0.05884361267089844
50,Iris,"[7, 300, 15]",0.26140390523952167,0.45727756731202446,0.34549761478039176,0.08776617050170898
51,Iris,"[7, 400, 5]",0.12903225806451613,0.46832213272325757,0.3314705540984983,0.039893388748168945
52,Iris,"[7, 400, 10]",0.5282915173237754,0.4529191864882054,0.3463333919711788,0.06383013725280762
